county_fips5,county_name_census,total_population,pop_65plus,pct_elderly,median_household_income,total_housing_units,vacant_housing_units
01001,"Autauga County, Alabama",58761,9176,0.1562,68315,24457,2149
01003,"Baldwin County, Alabama",233420,49499,0.2121,71039,125113,34311
01005,"Barbour County, Alabama",24877,4926,0.198,39712,11673,2657
01007,"Bibb County, Alabama",22251,3734,0.1678,50669,9046,1830
01009,"Blount County, Alabama",59077,10791,0.1827,57440,24677,3051
01011,"Bullock County, Alabama",10328,1714,0.166,36136,4541,1091
01013,"Butler County, Alabama",18981,4021,0.2118,44429,9835,2704
01015,"Calhoun County, Alabama",116162,20794,0.179,54339,53167,8474
01017,"Chambers County, Alabama",34612,6830,0.1973,48805,16427,3284
01019,"Cherokee County, Alabama",25069,5827,0.2324,46621,14687,4690
01021,"Chilton County, Alabama",45140,7605,0.1685,62471,19546,2615
01023,"Choctaw County, Alabama",12669,2950,0.2329,43299,7138,1910
01025,"Clarke County, Alabama",23058,4700,0.2038,47549,11733,3545
01027,"Clay County, Alabama",14209,2959,0.2082,48074,7040,1555
01029,"Cleburne County, Alabama",15144,2974,0.1964,51553,6818,1057
01031,"Coffee County, Alabama",53559,9165,0.1711,62199,24155,3792
01033,"Colbert County, Alabama",57270,11453,0.2,56149,27709,4443
01035,"Conecuh County, Alabama",11576,2714,0.2345,39888,6451,1998
01037,"Coosa County, Alabama",10329,2523,0.2443,52279,6045,2046
01039,"Covington County, Alabama",37542,8165,0.2175,48772,18644,4450
01041,"Crenshaw County, Alabama",13205,2611,0.1977,48557,6553,1714
01043,"Cullman County, Alabama",88284,16582,0.1878,58119,39182,5533
01045,"Dale County, Alabama",49455,8658,0.1751,52813,22829,3429
01047,"Dallas County, Alabama",38326,7440,0.1941,37180,18992,4239
01049,"DeKalb County, Alabama",71680,12374,0.1726,47920,30716,5026
01051,"Elmore County, Alabama",87694,13833,0.1577,73258,36787,4603
01053,"Escambia County, Alabama",36755,6830,0.1858,41153,16715,3693
01055,"Etowah County, Alabama",103348,20082,0.1943,52177,47412,8621
01057,"Fayette County, Alabama",16297,3461,0.2124,45650,7816,1673
01059,"Franklin County, Alabama",32011,5459,0.1705,47359,13940,2701
01061,"Geneva County, Alabama",26647,5414,0.2032,47608,12494,2103
01063,"Greene County, Alabama",7706,1824,0.2367,32796,4271,1399
01065,"Hale County, Alabama",14742,2903,0.1969,35851,7464,2061
01067,"Henry County, Alabama",17282,3953,0.2287,58395,9110,2424
01069,"Houston County, Alabama",107040,19450,0.1817,55064,49339,7796
01071,"Jackson County, Alabama",52618,10817,0.2056,46748,24706,4036
01073,"Jefferson County, Alabama",672265,109751,0.1633,63595,308428,42634
01075,"Lamar County, Alabama",13885,3075,0.2215,49565,7104,1936
01077,"Lauderdale County, Alabama",94329,18977,0.2012,56081,44705,6468
01079,"Lawrence County, Alabama",33116,6149,0.1857,54786,15270,2441
01081,"Lee County, Alabama",175126,22160,0.1265,59288,75473,10307
01083,"Limestone County, Alabama",104199,16023,0.1538,80146,42616,4044
01085,"Lowndes County, Alabama",10153,1967,0.1937,33125,4823,822
01087,"Macon County, Alabama",19198,3883,0.2023,41206,9662,2531
01089,"Madison County, Alabama",389781,59906,0.1537,78058,171313,11744
01091,"Marengo County, Alabama",19180,3818,0.1991,42975,9834,2455
01093,"Marion County, Alabama",29203,6114,0.2094,49743,14143,3125
01095,"Marshall County, Alabama",97923,16883,0.1724,58272,41328,5398
