event,county_fips5,intensity_zone,n_buildings_affected,pop_affected,n_buildings_impacted,pop_impacted,avg_damage_pct,max_surge_ft,total_loss_usd
BERYL_2024,22019,HIGH,11,27.830000000000002,11,27.830000000000002,100.0,15.0,863817.0
BERYL_2024,48007,HIGH,786,1988.5800000000008,786,1988.5800000000008,90.92620865139949,15.0,8.630886273499998E7
BERYL_2024,48039,HIGH,5372,13591.159999999954,5372,13591.159999999954,89.63914743112434,15.0,9.039458312800001E8
BERYL_2024,48039,LOW,13986,35384.57999999972,13751,34790.02999999973,85.1921921921922,7.0,2.333419893589999E9
BERYL_2024,48039,MEDIUM,72,182.16000000000005,72,182.16000000000005,18.479166666666668,3.0,2063871.5850000002
BERYL_2024,48057,HIGH,471,1191.63,471,1191.63,92.76433121019109,15.0,4.725059940499999E7
BERYL_2024,48061,HIGH,372,941.1599999999999,372,941.1599999999999,89.05510752688173,15.0,5.77733329E7
BERYL_2024,48061,MEDIUM,1,2.53,1,2.53,18.5,2.0,16707.165
BERYL_2024,48071,HIGH,1051,2659.0300000000007,1051,2659.0300000000007,80.4291151284491,15.0,1.8180168164500004E8
BERYL_2024,48071,LOW,43,108.79000000000002,43,108.79000000000002,8.023255813953488,2.0,787316.295
BERYL_2024,48071,MEDIUM,15,37.95,15,37.95,18.5,2.0,371730.67500000005
BERYL_2024,48167,HIGH,3094,7827.820000000003,3094,7827.820000000003,85.07708468002586,15.0,6.133955305100001E8
BERYL_2024,48167,LOW,14513,36717.88999999971,11242,28442.259999999795,70.6354303038655,7.0,1.605777433675E9
BERYL_2024,48167,MEDIUM,106,268.18000000000006,106,268.18000000000006,18.36320754716981,3.0,5093878.199999999
BERYL_2024,48199,HIGH,2047,5178.910000000002,2047,5178.910000000002,74.3009281875916,15.0,3.2889405561500007E8
BERYL_2024,48201,HIGH,6715,16988.949999999917,6715,16988.949999999917,80.84944154877141,15.0,1.434461103175E9
BERYL_2024,48201,LOW,102,258.06000000000006,102,258.06000000000006,11.75,2.0,3315613.185
BERYL_2024,48201,MEDIUM,52,131.56000000000003,52,131.56000000000003,17.807692307692307,3.0,2117603.2750000004
BERYL_2024,48239,HIGH,95,240.35000000000005,95,240.35000000000005,68.35263157894737,15.0,1.2766809460000003E7
BERYL_2024,48241,HIGH,315,796.9499999999999,315,796.9499999999999,86.05396825396825,15.0,3.738684846500001E7
BERYL_2024,48245,HIGH,1311,3316.83,1311,3316.83,92.81464530892448,15.0,2.0154177863999996E8
BERYL_2024,48245,LOW,31592,79927.75999999979,21296,53878.879999999546,62.18188148898455,7.0,3.2651721393349986E9
BERYL_2024,48245,MEDIUM,24,60.72000000000001,24,60.72000000000001,18.1875,2.0,581302.3899999999
BERYL_2024,48261,HIGH,3,7.59,3,7.59,61.666666666666664,15.0,119729.45
BERYL_2024,48273,HIGH,49,123.97000000000004,49,123.97000000000004,91.87755102040816,15.0,7728720.870000001
BERYL_2024,48291,HIGH,4039,10218.669999999991,4039,10218.669999999991,92.32792770487744,15.0,4.230539644399998E8
BERYL_2024,48321,HIGH,1135,2871.5500000000015,1135,2871.5500000000015,77.12114537444934,15.0,7.555518921500002E7
BERYL_2024,48321,LOW,610,1543.3000000000006,610,1543.3000000000006,63.761475409836066,7.0,3.834659752E7
BERYL_2024,48321,MEDIUM,322,814.66,322,814.66,18.402173913043477,3.0,4782645.835
BERYL_2024,48351,HIGH,559,1414.2699999999998,559,1414.2699999999998,91.88014311270125,15.0,4.973426217500001E7
BERYL_2024,48355,HIGH,284,718.5199999999999,284,718.5199999999999,90.93838028169014,15.0,5.3401226745000005E7
BERYL_2024,48361,HIGH,4245,10739.849999999988,4245,10739.849999999988,91.613074204947,15.0,6.149358517950001E8
BERYL_2024,48361,LOW,11,27.830000000000002,11,27.830000000000002,7.363636363636363,1.0,154491.56499999997
BERYL_2024,48391,HIGH,50,126.50000000000003,50,126.50000000000003,74.85,15.0,6855467.955
BERYL_2024,48409,HIGH,156,394.67999999999984,156,394.67999999999984,90.5576923076923,15.0,2.1268226325000003E7
